UMAP1,UMAP2,UMAP3,Cluster
8.645402,3.4364667,7.392639,0
8.606567,3.3902855,7.3428283,0
8.6159115,3.3987737,7.349841,0
8.589782,3.3727114,7.323612,0
8.604183,3.3896248,7.339587,0
8.562062,3.3416042,7.2917647,0
6.692029,3.1392229,9.553177,0
6.6805196,3.1331594,9.531048,0
6.6757607,3.1217713,9.566308,0
6.702072,3.1549354,9.539458,0
6.664146,3.1741443,9.513374,0
6.716618,3.1644113,9.518871,0
6.9755735,6.250893,15.269068,2
6.9620814,6.2652526,15.252676,2
6.933599,6.2926865,15.230577,2
6.9312387,6.2954307,15.224897,2
6.9542723,6.2705293,15.309924,2
6.9848886,6.239958,15.286496,2
6.976625,6.249286,15.299123,2
7.009235,6.21632,15.3068,2
6.9992423,6.2254634,15.270433,2
6.980777,6.2438416,15.282116,2
7.012746,6.2146087,15.256582,2
7.0012727,6.223935,15.273811,2
8.949125,4.385809,9.4860735,0
8.937729,4.4295406,9.465049,0
8.917732,4.3764033,9.450656,0
8.983774,4.4638224,9.4180765,0
8.967549,4.420605,9.46384,0
9.626167,3.7383802,7.717194,0
9.680841,3.7892833,7.757183,0
9.651013,3.7486134,7.719407,0
9.734812,3.8753338,7.845565,0
9.681007,3.7577853,7.733117,0
9.680475,3.773491,7.746413,0
5.8947377,1.0922322,11.007252,0
5.8518844,1.103447,11.043571,0
5.823761,1.1155392,11.069826,0
5.874542,1.105687,11.02025,0
5.883352,1.0734677,11.007086,0
5.8136168,1.1475066,11.082328,0
5.790198,1.1516697,11.099633,0
5.826886,1.1280372,11.067661,0
5.850785,1.0990514,11.041414,0
8.97317,3.9263537,8.298582,0
9.15853,4.3350835,8.4976425,0
9.3254595,4.8793316,9.089577,0
9.246927,4.725105,8.957904,0
9.254141,4.7689962,8.904365,0
9.204692,4.6291504,8.959632,0
9.228465,4.6879277,9.014015,0
9.1359005,4.905988,9.039692,0
9.228559,4.6756024,8.933068,0
9.167061,4.801807,8.989974,0
10.185459,5.43615,10.740827,2
10.142572,5.5657783,10.676877,2
10.114617,5.5813017,10.644075,2
10.136891,5.57004,10.672899,2
10.130674,5.556421,10.675976,2
10.115612,5.536875,10.669367,2
10.128721,5.5953393,10.699571,2
10.151656,5.563162,10.685396,2
9.093186,4.100217,8.247183,0
9.309318,4.7100806,8.661161,0
9.044206,4.0416956,8.229977,0
9.044109,4.056466,8.295949,0
9.096409,4.219602,8.393367,0
9.089319,4.094902,8.221524,0
